City_Region,Property_Type,Total_Sales_Analyzed,Model_Accuracy_Score (R2),Average_Error_Margin,Base_Price,File_Name
Kensington-Chinatown,Townhouse,39,0.94,105613.0,1105169.0,Kensington-Chinatown_Townhouse_Matrix.csv
3104 - CFB Rockcliffe and Area,Townhouse,59,0.93,42401.0,636732.0,3104_-_CFB_Rockcliffe_and_Area_Townhouse_Matrix.csv
7709 - Barrhaven - Strandherd,Townhouse,84,0.92,18816.0,550146.0,7709_-_Barrhaven_-_Strandherd_Townhouse_Matrix.csv
Don Valley Village,Townhouse,41,0.92,78533.0,869471.0,Don_Valley_Village_Townhouse_Matrix.csv
1118 - Avalon East,Townhouse,156,0.92,18033.0,565783.0,1118_-_Avalon_East_Townhouse_Matrix.csv
Tansley,Townhouse,55,0.92,37455.0,871433.0,Tansley_Townhouse_Matrix.csv
Erin Mills,Condo Apartment,70,0.91,77250.0,705579.0,Erin_Mills_Condo_Apartment_Matrix.csv
Newtonbrook East,Detached,96,0.9,148783.0,1820650.0,Newtonbrook_East_Detached_Matrix.csv
1005 - FA Falgarwood,Townhouse,53,0.9,45897.0,700316.0,1005_-_FA_Falgarwood_Townhouse_Matrix.csv
Tottenham,Townhouse,48,0.89,21491.0,745485.0,Tottenham_Townhouse_Matrix.csv
520 - Petawawa,Townhouse,47,0.89,19803.0,429649.0,520_-_Petawawa_Townhouse_Matrix.csv
Belleville Ward,Condo Apartment,51,0.89,26714.0,320953.0,Belleville_Ward_Condo_Apartment_Matrix.csv
East F,Detached,46,0.88,59030.0,539076.0,East_F_Detached_Matrix.csv
1015 - RO River Oaks,Townhouse,158,0.87,52962.0,822162.0,1015_-_RO_River_Oaks_Townhouse_Matrix.csv
Ameliasburg Ward,Detached,100,0.87,104455.0,789987.0,Ameliasburg_Ward_Detached_Matrix.csv
Willowdale East,Townhouse,118,0.87,85274.0,1006114.0,Willowdale_East_Townhouse_Matrix.csv
1013 - OO Old Oakville,Condo Apartment,40,0.87,409333.0,1467037.0,1013_-_OO_Old_Oakville_Condo_Apartment_Matrix.csv
Downsview-Roding-CFB,Townhouse,106,0.87,42591.0,776099.0,Downsview-Roding-CFB_Townhouse_Matrix.csv
Annex,Condo Apartment,327,0.86,134685.0,1229080.0,Annex_Condo_Apartment_Matrix.csv
Lansing-Westgate,Condo Apartment,114,0.86,52837.0,686293.0,Lansing-Westgate_Condo_Apartment_Matrix.csv
1000 - BC Bronte Creek,Townhouse,71,0.86,90659.0,1205451.0,1000_-_BC_Bronte_Creek_Townhouse_Matrix.csv
Willow West/Sugarbush/West Acres,Townhouse,88,0.86,43272.0,614409.0,Willow_West_Sugarbush_West_Acres_Townhouse_Matrix.csv
Victoria North,Townhouse,65,0.86,49013.0,664228.0,Victoria_North_Townhouse_Matrix.csv
Applewood,Townhouse,66,0.85,66801.0,693492.0,Applewood_Townhouse_Matrix.csv
Churchill Meadows,Townhouse,172,0.85,49445.0,801043.0,Churchill_Meadows_Townhouse_Matrix.csv
Long Branch,Townhouse,74,0.85,52790.0,885582.0,Long_Branch_Townhouse_Matrix.csv
Aurora Village,Detached,73,0.84,190641.0,1544305.0,Aurora_Village_Detached_Matrix.csv
3808 - Hunt Club Park,Townhouse,41,0.84,34262.0,486885.0,3808_-_Hunt_Club_Park_Townhouse_Matrix.csv
Appleby,Condo Apartment,94,0.84,55181.0,631327.0,Appleby_Condo_Apartment_Matrix.csv
Blue Mountains,Townhouse,70,0.84,96062.0,793041.0,Blue_Mountains_Townhouse_Matrix.csv
Humewood-Cedarvale,Condo Apartment,57,0.84,52363.0,584930.0,Humewood-Cedarvale_Condo_Apartment_Matrix.csv
Summerhill Estates,Detached,75,0.84,57194.0,1193693.0,Summerhill_Estates_Detached_Matrix.csv
Sandringham-Wellington North,Detached,67,0.83,33328.0,1294381.0,Sandringham-Wellington_North_Detached_Matrix.csv
Humber Heights,Detached,66,0.83,143821.0,1313257.0,Humber_Heights_Detached_Matrix.csv
1117 - Avalon West,Condo Apartment,49,0.83,14952.0,379509.0,1117_-_Avalon_West_Condo_Apartment_Matrix.csv
Regent Park,Condo Apartment,178,0.83,39523.0,598270.0,Regent_Park_Condo_Apartment_Matrix.csv
Collingwood,Townhouse,162,0.83,80897.0,696573.0,Collingwood_Townhouse_Matrix.csv
Unionville,Condo Apartment,430,0.83,48183.0,679523.0,Unionville_Condo_Apartment_Matrix.csv
Lakeview,Condo Apartment,98,0.83,44910.0,646597.0,Lakeview_Condo_Apartment_Matrix.csv
LaSalle,Townhouse,38,0.82,52781.0,732487.0,LaSalle_Townhouse_Matrix.csv
Pineridge/Westminster Woods,Condo Apartment,136,0.82,42155.0,557070.0,Pineridge_Westminster_Woods_Condo_Apartment_Matrix.csv
Credit Valley,Detached,230,0.82,118565.0,1430970.0,Credit_Valley_Detached_Matrix.csv
Rural Pickering,Detached,188,0.82,99344.0,1269356.0,Rural_Pickering_Detached_Matrix.csv
Holland Landing,Detached,179,0.81,86447.0,1189288.0,Holland_Landing_Detached_Matrix.csv
North St. James Town,Condo Apartment,111,0.81,60343.0,658314.0,North_St._James_Town_Condo_Apartment_Matrix.csv
Lawrence Park North,Detached,147,0.81,221389.0,2176145.0,Lawrence_Park_North_Detached_Matrix.csv
Newtonbrook West,Detached,97,0.81,182595.0,1493282.0,Newtonbrook_West_Detached_Matrix.csv
4502 - West Centre Town,Condo Apartment,84,0.81,40460.0,434577.0,4502_-_West_Centre_Town_Condo_Apartment_Matrix.csv
Bridle Path-Sunnybrook-York Mills,Condo Apartment,41,0.81,204157.0,1476793.0,Bridle_Path-Sunnybrook-York_Mills_Condo_Apartment_Matrix.csv
1117 - Avalon West,Townhouse,175,0.8,20052.0,585796.0,1117_-_Avalon_West_Townhouse_Matrix.csv
Vellore Village,Condo Apartment,48,0.8,76976.0,647677.0,Vellore_Village_Condo_Apartment_Matrix.csv
O'Connor-Parkview,Detached,116,0.8,127651.0,1167957.0,O'Connor-Parkview_Detached_Matrix.csv
Casa Loma,Condo Apartment,72,0.8,300000.0,1273452.0,Casa_Loma_Condo_Apartment_Matrix.csv
Rural Severn,Detached,130,0.79,146646.0,970477.0,Rural_Severn_Detached_Matrix.csv
Liverpool,Detached,173,0.79,80946.0,1111773.0,Liverpool_Detached_Matrix.csv
Keswick South,Detached,290,0.79,66944.0,828456.0,Keswick_South_Detached_Matrix.csv
Central Erin Mills,Detached,140,0.79,153591.0,1489241.0,Central_Erin_Mills_Detached_Matrix.csv
Edenbridge-Humber Valley,Detached,99,0.79,314921.0,2545665.0,Edenbridge-Humber_Valley_Detached_Matrix.csv
1000 - BC Bronte Creek,Detached,38,0.79,119669.0,1866369.0,1000_-_BC_Bronte_Creek_Detached_Matrix.csv
Rosedale-Moore Park,Detached,117,0.79,647570.0,4355212.0,Rosedale-Moore_Park_Detached_Matrix.csv
1020 - WO West,Detached,228,0.79,263795.0,1748992.0,1020_-_WO_West_Detached_Matrix.csv
Beverley Glen,Condo Apartment,164,0.79,42522.0,614469.0,Beverley_Glen_Condo_Apartment_Matrix.csv
Yonge-St. Clair,Condo Apartment,127,0.78,193308.0,1133201.0,Yonge-St._Clair_Condo_Apartment_Matrix.csv
Roseland,Detached,165,0.78,210665.0,1608000.0,Roseland_Detached_Matrix.csv
Willowdale East,Detached,140,0.78,270583.0,2356911.0,Willowdale_East_Detached_Matrix.csv
Lorne Park,Detached,176,0.78,349363.0,2306256.0,Lorne_Park_Detached_Matrix.csv
Islington-City Centre West,Condo Apartment,613,0.78,42733.0,577648.0,Islington-City_Centre_West_Condo_Apartment_Matrix.csv
Kensington-Chinatown,Condo Apartment,139,0.78,86314.0,687377.0,Kensington-Chinatown_Condo_Apartment_Matrix.csv
Centennial,Townhouse,46,0.78,21697.0,515061.0,Centennial_Townhouse_Matrix.csv
North Richvale,Detached,113,0.78,152741.0,1497055.0,North_Richvale_Detached_Matrix.csv
West Humber-Clairville,Townhouse,41,0.77,50980.0,731819.0,West_Humber-Clairville_Townhouse_Matrix.csv
Grange Road,Detached,227,0.77,53609.0,850958.0,Grange_Road_Detached_Matrix.csv
North R,Condo Apartment,46,0.77,32869.0,677337.0,North_R_Condo_Apartment_Matrix.csv
